,Unnamed: 0,Unnamed: 0.1,AndamanNicobar confirmed,AndamanNicobar cured,AndamanNicobar death,AndhraPradesh confirmed,AndhraPradesh cured,AndhraPradesh death,Arunachal Pradesh confirmed,Arunachal Pradesh cured,Arunachal Pradesh death,Assam confirmed,Assam cured,Assam death,Bihar confirmed,Bihar cured,Bihar death,Chandigarh confirmed,Chandigarh cured,Chandigarh death,Chhattisgarh confirmed,Chhattisgarh cured,Chhattisgarh death,Date,Datetime,Delhi confirmed,Delhi cured,Delhi death,Goa confirmed,Goa cured,Goa death,Gujarat confirmed,Gujarat cured,Gujarat death,Haryana confirmed,Haryana cured,Haryana death,HimachalPradesh confirmed,HimachalPradesh cured,HimachalPradesh death,HttpDate,HttpExpires,J & K confirmed,J & K cured,J & K death,Jharkhand confirmed,Jharkhand cured,Jharkhand death,Karnataka confirmed,Karnataka cured,Karnataka death,Kerala confirmed,Kerala cured,Kerala death,Ladakh confirmed,Ladakh cured,Ladakh death,MP confirmed,MP cured,MP death,Maharashtra confirmed,Maharashtra cured,Maharashtra death,Manipur confirmed,Manipur cured,Manipur death,Mizoram confirmed,Mizoram cured,Mizoram death,Odisha confirmed,Odisha cured,Odisha death,Puducherry confirmed,Puducherry cured,Puducherry death,Punjab confirmed,Punjab cured,Punjab death,Rajasthan confirmed,Rajasthan cured,Rajasthan death,TamilNadu confirmed,TamilNadu cured,TamilNadu death,Telengana confirmed,Telengana cured,Telengana death,Time,TotalActive,TotalCured,TotalDeath,TotalMigrated,Tripura confirmed,Tripura cured,Tripura death,UttarPradesh confirmed,UttarPradesh cured,UttarPradesh death,Uttarakhand confirmed,Uttarakhand cured,Uttarakhand death,West Bengal confirmed,West Bengal cured,West Bengal death
0,0.0,0.0,10,0,0,305,5,4,1,0,0,27,0,0,38,0,1,18,7,0,10,9,0,2020-04-08,2020-04-08T17:00:00,576,21,9,7,0,0,165,25,13,147,28,3,18,2,1,"Wed, 08 Apr 2020 17:48:10 GMT","Wed, 08 Apr 2020 18:20:02 GMT",116,4,2,4,0,0,175,25,4,336,70,2,14,10,0,229,0,13,1018,79,64,2,0,0,1,0,0,42,2,1,5,1,0,91,4,7,328,21,3,690,19,7,427,35,7,17:00:00,4714,410,149,1,1,0,0,343,26,3,31,5,0,99,13,5
1,1.0,,11,0,0,348,6,4,1,0,0,28,0,0,38,0,1,18,7,0,10,9,0,2020-04-09,2020-04-09T08:00:00,669,21,9,7,0,0,179,25,16,147,28,3,18,2,1,"Thu, 09 Apr 2020 12:50:54 GMT","Thu, 09 Apr 2020 13:24:08 GMT",158,4,4,4,0,0,181,28,5,345,83,2,14,10,0,229,0,13,1135,117,72,1,1,0,1,0,0,42,2,1,5,1,0,101,4,8,381,21,3,738,21,8,427,35,7,08:00:00,5095,472,166,1,1,0,0,361,27,4,33,5,0,103,16,5
2,,,11,0,0,348,6,4,1,0,0,28,0,0,39,0,1,18,7,0,10,9,0,2020-04-09,2020-04-09T17:00:00,669,21,9,7,0,0,179,25,16,169,29,3,18,2,1,"Fri, 10 Apr 2020 00:00:15 GMT","Fri, 10 Apr 2020 00:04:54 GMT",158,4,4,13,0,0,181,28,5,345,83,2,14,10,0,259,0,16,1135,117,72,2,1,0,1,0,0,42,2,1,5,1,0,101,4,8,383,21,3,738,21,8,442,35,7,17:00:00,5218,477,169,1,1,0,0,410,31,4,35,5,0,103,16,5
